Real_1,Pred_1,Real_2,Pred_2,Real_3,Pred_3,Real_4,Pred_4,Real_5,Pred_5,Real_6,Pred_6,Real_7,Pred_7,Real_8,Pred_8,Real_9,Pred_9,Real_10,Pred_10,Real_11,Pred_11,Real_12,Pred_12
119647.13610350236,114746.836,119905.34412932584,114065.586,119958.86217219132,113418.016,119683.19953786394,113144.75,119583.73597101556,112715.375,119127.28034544508,112883.77,118687.14241553268,112743.195,118900.1656138629,112597.72,118701.95317626116,112507.664,118473.90255623346,112714.81,118379.73883290826,112951.12,118433.78513026409,112814.53
119905.34412932584,114789.945,119958.86217219132,114114.61,119683.19953786394,113460.39,119583.73597101556,113182.95,119127.28034544508,112759.664,118687.14241553268,112951.016,118900.1656138629,112820.86,118701.95317626116,112670.44,118473.90255623346,112591.664,118379.73883290826,112798.13,118433.78513026409,113050.44,118078.32575499937,112910.39
119958.86217219132,114838.87,119683.19953786394,114166.77,119583.73597101556,113498.96,119127.28034544508,113211.766,118687.14241553268,112798.87,118900.1656138629,113018.016,118701.95317626116,112895.73,118473.90255623346,112743.0,118379.73883290826,112676.43,118433.78513026409,112881.336,118078.32575499937,113154.945,118373.06712224887,113013.62
119683.19953786394,114901.95,119583.73597101556,114232.06,119127.28034544508,113552.94,118687.14241553268,113257.19,118900.1656138629,112853.375,118701.95317626116,113101.13,118473.90255623346,112989.32,118379.73883290826,112831.6,118433.78513026409,112778.95,118078.32575499937,112981.67,118373.06712224887,113275.164,118586.26472420427,113130.79
119583.73597101556,114941.68,119127.28034544508,114276.086,118687.14241553268,113603.33,118900.1656138629,113298.46,118701.95317626116,112908.25,118473.90255623346,113181.91,118379.73883290826,113076.45,118433.78513026409,112916.15,118078.32575499937,112871.66,118373.06712224887,113072.8,118586.26472420427,113378.375,118102.75685806658,113228.45
119127.28034544508,114933.39,118687.14241553268,114255.695,118900.1656138629,113612.34,118701.95317626116,113270.51,118473.90255623346,112919.18,118379.73883290826,113214.43,118433.78513026409,113086.06,118078.32575499937,112925.45,118373.06712224887,112882.4,118586.26472420427,113084.73,118102.75685806658,113385.07,117604.01001209718,113211.266
118687.14241553268,114938.68,118900.1656138629,114267.56,118701.95317626116,113654.2,118473.90255623346,113300.51,118379.73883290826,112965.72,118433.78513026409,113275.77,118078.32575499937,113137.125,118373.06712224887,112976.77,118586.26472420427,112928.28,118102.75685806658,113128.29,117604.01001209718,113420.06,118166.34352460799,113238.16
118900.1656138629,114860.78,118701.95317626116,114178.62,118473.90255623346,113631.445,118379.73883290826,113234.18,118433.78513026409,112949.32,118078.32575499937,113264.945,118373.06712224887,113081.65,118586.26472420427,112926.65,118102.75685806658,112864.15,117604.01001209718,113064.12,118166.34352460799,113323.78,118371.49200750593,113110.57
118701.95317626116,114856.17,118473.90255623346,114195.836,118379.73883290826,113657.01,118433.78513026409,113257.52,118078.32575499937,112976.21,118373.06712224887,113310.086,118586.26472420427,113121.695,118102.75685806658,112967.97,117604.01001209718,112907.01,118166.34352460799,113095.8,118371.49200750593,113349.89,117845.38888074942,113144.49
118473.90255623346,114833.36,118379.73883290826,114176.9,118433.78513026409,113661.5,118078.32575499937,113245.82,118373.06712224887,112983.34,118586.26472420427,113328.45,118102.75685806658,113126.9,117604.01001209718,112975.04,118166.34352460799,112917.55,118371.49200750593,113094.55,117845.38888074942,113341.16,118120.789797975,113125.125
